N=20000
p,Tp,Sp
1,0.38905,1
2,0.190163,2.04588
4,0.0903746,4.30486
6,0.0530093,7.33928
8,0.038845,10.0154
16,0.042546,9.14423
20,0.0428513,9.07908
40,0.0493513,7.88327
N=20000
p,Tp,Sp
1,0.437403,1
2,0.189648,2.30639
4,0.131386,3.32915
6,0.0836066,5.23169
8,0.0693329,6.30874
16,0.0371579,11.7715
20,0.042731,10.2362
40,0.0358596,12.1977
N=20000
p,Tp,Sp
1,0.39648,1
2,0.234631,1.6898
4,0.125213,3.16645
6,0.0879061,4.51027
8,0.0594345,6.67088
16,0.0355454,11.1542
20,0.0358275,11.0664
40,0.0348058,11.3912
N=20000
p,Tp,Sp
1,0.43982,1
2,0.233667,1.88225
4,0.114248,3.84971
6,0.0785235,5.60113
8,0.061859,7.11004
16,0.0439966,9.99668
20,0.0352358,12.4822
40,0.0339307,12.9623
N=40000
p,Tp,Sp
1,1.73946,1
2,0.767648,2.26596
4,0.361436,4.81264
6,0.240578,7.23035
8,0.213509,8.14703
16,0.14165,12.28
20,0.140091,12.4167
40,0.141404,12.3014
N=40000
p,Tp,Sp
1,1.97053,1
2,0.777232,2.53532
4,0.364971,5.39915
6,0.269122,7.32208
8,0.212089,9.29108
16,0.16776,11.7461
20,0.14133,13.9428
40,0.173867,11.3336
N=40000
p,Tp,Sp
1,1.67188,1
2,0.775801,2.15504
4,0.371504,4.50029
6,0.272091,6.14456
8,0.237066,7.05238
16,0.126548,13.2114
20,0.134545,12.4261
40,0.174001,9.60846
N=40000
p,Tp,Sp
1,1.66208,1
2,0.785163,2.11687
4,0.38268,4.34328
6,0.315097,5.27483
8,0.214876,7.7351
16,0.166875,9.96004
20,0.162844,10.2066
40,0.17816,9.32917
N=40000
p,Tp,Sp
1,1.76715,1
2,0.862695,2.04841
4,0.436037,4.05276
6,0.319534,5.53041
8,0.257828,6.85401
16,0.126738,13.9434
20,0.118731,14.8837
40,0.109327,16.164
